,Equity,Drawdown
2025-11-24,82077.90421737285,-0.2168396013300792
2025-11-25,82686.5939059616,-0.2110316842819178
2025-11-26,81673.04115698521,-0.2207026716509317
2025-11-27,81656.52465657576,-0.22086026667201125
2025-11-28,82108.2248052792,-0.21655029224087838
2025-12-01,82019.16869527938,-0.2174000363867174
2025-12-02,82055.16869527938,-0.21705653621305981
2025-12-03,81983.16869527938,-0.21774353656037496
2025-12-04,81978.22229527938,-0.21779073348423553
2025-12-05,81978.22229527938,-0.21779073348423553
2025-12-08,81978.22229527938,-0.21779073348423553
2025-12-09,81978.22229527938,-0.21779073348423553
2025-12-10,81978.22229527938,-0.21779073348423553
2025-12-11,81978.22229527938,-0.21779073348423553
2025-12-12,81978.22229527938,-0.21779073348423553
2025-12-15,81978.22229527938,-0.21779073348423553
2025-12-16,81978.22229527938,-0.21779073348423553
2025-12-17,82589.87589527939,-0.21195453576706105
2025-12-18,83377.87589527939,-0.20443569863255642
2025-12-19,83496.61269527939,-0.20330275109312465
2025-12-22,83496.61269527939,-0.20330275109312465
2025-12-23,82841.94049527938,-0.20954941815947978
2025-12-24,83023.94049527938,-0.20781283394821096
2025-12-25,82490.70444819008,-0.21290079713642354
2025-12-26,81910.70444819008,-0.21843496660090664
2025-12-29,81925.42600647229,-0.21829449832794973
2025-12-30,81176.75115984652,-0.2254381077676444
2025-12-31,80123.34680275296,-0.23548934608967997
2026-01-05,79475.34680275296,-0.24167234921551628
2026-01-06,79240.30065798263,-0.24391508231402045
2026-01-07,79240.30065798263,-0.24391508231402045
2026-01-08,79240.30065798263,-0.24391508231402045
2026-01-09,79240.30065798263,-0.24391508231402045
2026-01-12,79240.30065798263,-0.24391508231402045
2026-01-13,79240.30065798263,-0.24391508231402045
2026-01-14,79240.30065798263,-0.24391508231402045
2026-01-15,79240.30065798263,-0.24391508231402045
2026-01-16,79240.30065798263,-0.24391508231402045
2026-01-19,79240.30065798263,-0.24391508231402045
2026-01-20,79240.30065798263,-0.24391508231402045
2026-01-21,79240.30065798263,-0.24391508231402045
2026-01-22,79240.30065798263,-0.24391508231402045
2026-01-23,79240.30065798263,-0.24391508231402045
2026-01-26,79240.30065798263,-0.24391508231402045
2026-01-27,79875.71065798264,-0.23785220883224936
2026-01-28,79045.71065798264,-0.24577179616935452
2026-01-29,78805.76276898496,-0.24806130010100644
2026-01-30,78805.76276898496,-0.24806130010100644
2026-02-02,78805.76276898496,-0.24806130010100644
2026-02-03,79281.0944495517,-0.24352584135601693
2026-02-04,78691.20273887977,-0.24915439427421057
2026-02-05,78362.70863328203,-0.2522887771163859
2026-02-06,78358.06763328203,-0.2523330600137733
2026-02-09,78358.06763328203,-0.2523330600137733
2026-02-10,78358.06763328203,-0.2523330600137733
2026-02-11,78358.06763328203,-0.2523330600137733
2026-02-12,78358.06763328203,-0.2523330600137733
2026-02-13,78358.06763328203,-0.2523330600137733
2026-02-24,78358.06763328203,-0.2523330600137733
2026-02-25,77840.68011788889,-0.25726980171893454
2026-02-26,77249.52185968823,-0.2629104396175743
2026-02-27,77019.72081424958,-0.26510312570132066
2026-03-02,77019.72081424958,-0.26510312570132066
2026-03-03,77019.72081424958,-0.26510312570132066
2026-03-04,77019.72081424958,-0.26510312570132066
2026-03-05,77019.72081424958,-0.26510312570132066
2026-03-06,77019.72081424958,-0.26510312570132066
2026-03-09,77019.72081424958,-0.26510312570132066
2026-03-10,77019.72081424958,-0.26510312570132066
2026-03-11,77019.72081424958,-0.26510312570132066
2026-03-12,77019.72081424958,-0.26510312570132066
2026-03-13,77019.72081424958,-0.26510312570132066
2026-03-16,77019.72081424958,-0.26510312570132066
2026-03-17,77019.72081424958,-0.26510312570132066
2026-03-18,77019.72081424958,-0.26510312570132066
2026-03-19,77019.72081424958,-0.26510312570132066
2026-03-20,77019.72081424958,-0.26510312570132066
2026-03-23,76302.02071189768,-0.27195118430665216
2026-03-24,75687.02071189768,-0.27781931227330237
2026-03-25,76444.00985253189,-0.2705963705715039
2026-03-26,75192.29847505875,-0.28253978933625895
2026-03-27,74848.22589001479,-0.28582281691163147
2026-03-30,74848.22589001479,-0.28582281691163147
2026-03-31,74848.22589001479,-0.28582281691163147
2026-04-01,74848.22589001479,-0.28582281691163147
2026-04-02,74848.22589001479,-0.28582281691163147
2026-04-03,74848.22589001479,-0.28582281691163147
2026-04-07,74848.22589001479,-0.28582281691163147
2026-04-08,74848.22589001479,-0.28582281691163147
2026-04-09,72863.3720451517,-0.30476164025594726
2026-04-10,73926.9035253497,-0.29461377225210544
2026-04-13,74571.76840893325,-0.2884606833771993
2026-04-14,74023.54321490583,-0.29369166808141806
2026-04-15,72670.22794326744,-0.30660455782645224
2026-04-16,75526.489029821,-0.2793510528474936
2026-04-17,75266.03864176615,-0.2818361848898831
2026-04-20,76100.4439910155,-0.27387456315743974
2026-04-21,76431.57910743196,-0.2707149806576294
2026-04-22,75943.30890377508,-0.2753738945395171
2026-04-23,74909.30890377508,-0.2852399828606818
2026-04-24,75762.84936944088,-0.2770957801334604
2026-04-27,76905.3447963012,-0.2661944640909743
2026-04-28,78283.70510674507,-0.2530426028131917
2026-04-29,80627.01738732604,-0.2306834868322616
2026-04-30,83037.00157173851,-0.20768820944732583
2026-05-06,83469.82883877752,-0.20355831385311376
2026-05-07,83864.84818969309,-0.1997891689742916
2026-05-08,84807.91874574646,-0.1907906995360784
2026-05-11,85054.8219969229,-0.18843482982341936
2026-05-12,83823.07169604338,-0.20018778655272162
2026-05-13,84484.97238099544,-0.19387214765757993
2026-05-14,84632.19969562755,-0.1924673529869336
2026-05-15,84146.12124328369,-0.19710535389780362
2026-05-18,84534.29343369674,-0.19340154237513907
2026-05-19,84534.29343369674,-0.19340154237513907
2026-05-20,84534.29343369674,-0.19340154237513907
2026-05-21,84534.29343369674,-0.19340154237513907
2026-05-22,84534.29343369674,-0.19340154237513907
2026-05-25,84534.29343369674,-0.19340154237513907
