,Equity,Drawdown
2025-12-22,122367.63706235887,-0.011260762941223077
2025-12-23,121485.4405293895,-0.018388973862706617
2025-12-24,122917.58792911653,-0.00681712070483111
2025-12-25,123435.14826181295,-0.0026351962943649324
2025-12-26,122970.75519587418,-0.006387525396525289
2025-12-29,123006.55866290479,-0.006098230828731501
2025-12-30,122662.50952966245,-0.008878172369479007
2025-12-31,122917.65692938949,-0.00681656317770323
2026-01-05,122994.40794984528,-0.006196409457073082
2026-01-06,122890.17145629167,-0.00703864776112197
2026-01-07,122398.60931067407,-0.011010504965304493
2026-01-08,123226.5153889881,-0.004320964790467367
2026-01-09,123336.37485258371,-0.003433292487341531
2026-01-12,123757.51463798888,-3.0452977542066668e-05
2026-01-13,123917.46550474653,0.0
2026-01-14,123882.12157205012,-0.00028522155898242285
2026-01-15,124242.26897177714,0.0
2026-01-16,123794.77763935369,-0.0036017640061379056
2026-01-19,124628.90770392765,0.0
2026-01-20,124545.05510365468,-0.0006728182234587665
2026-01-21,124918.30076986642,0.0
2026-01-22,125376.9395020169,0.0
2026-01-23,125421.0377685016,0.0
2026-01-26,125641.9582204811,0.0
2026-01-27,125009.56515454233,-0.005033295205643192
2026-01-28,124186.36862157295,-0.01158521897878912
2026-01-29,124051.12295536122,-0.01266165608727798
2026-01-30,125625.49868614691,-0.00013100348456293283
2026-02-02,125982.9582204811,0.0
2026-02-03,126810.35128641987,0.0
2026-02-04,127278.18655153975,0.0
2026-02-05,127454.72701720556,0.0
2026-02-06,127703.72701720556,0.0
2026-02-09,128864.95534826421,0.0
2026-02-10,128649.4148825984,-0.0016726073049363754
2026-02-11,128823.70968205247,-0.0003200689132298564
2026-02-12,128003.97268341729,-0.006681278571975343
2026-02-13,127911.8744169326,-0.007395966799164774
2026-02-24,128698.86075072087,-0.0012889043192112484
2026-02-25,128768.1064169326,-0.000751553679352701
2026-02-26,128421.81161747852,-0.003438822677492607
2026-02-27,128438.86075072087,-0.0033065203521919495
2026-03-02,126826.48501993518,-0.01581865545073878
2026-03-03,126133.45888805765,-0.021196580969779943
2026-03-04,125424.11495536122,-0.026701133629418013
2026-03-05,125933.11495536122,-0.022751262241775025
2026-03-06,128044.08028505505,-0.006370041110018599
2026-03-09,127521.78548560098,-0.010423080961253134
2026-03-10,128438.40175072086,-0.0033100822204963467
2026-03-11,128258.30348423618,-0.004707655874232978
2026-03-12,127919.91041829741,-0.007333606933031276
2026-03-13,127941.95955153975,-0.007162504299404067
2026-03-16,127965.20521775149,-0.006982116496149797
2026-03-17,127586.96898668673,-0.009917252973266913
2026-03-18,127963.96898668673,-0.0069917097254448965
2026-03-19,127355.96898668673,-0.011709827217953613
2026-03-20,126402.96898668673,-0.019105165984994413
2026-03-23,125264.96898668673,-0.027936116160117635
2026-03-24,129334.08960240235,0.0
2026-03-25,132202.37606117438,0.0
2026-03-26,130741.14854043235,-0.011052959593297126
2026-03-27,132378.4881796909,0.0
2026-03-30,134298.17306909422,0.0
2026-03-31,133814.3746150378,-0.003602420219130607
2026-04-01,134627.9913485661,0.0
2026-04-02,132506.73524331377,-0.015756426906498082
2026-04-03,128643.08217141483,-0.044455162089254624
2026-04-07,132224.59438191954,-0.0178521341852596
2026-04-08,134408.99660032097,-0.0016266657925404111
2026-04-09,132909.69173690598,-0.012763316116120818
2026-04-10,133415.09323334135,-0.009009256567487784
2026-04-13,133495.64154985157,-0.008410953675916957
2026-04-14,133542.59136279713,-0.008062216296154657
2026-04-15,134074.4465540615,-0.004111661987672623
2026-04-16,134758.04879871456,0.0
2026-04-17,134331.54692817034,-0.0031649454288350323
2026-04-20,135041.79786344245,0.0
2026-04-21,135331.8480504969,0.0
2026-04-22,134792.8613510381,-0.003982704050990862
2026-04-23,133844.35948049388,-0.010991415482983586
2026-04-24,135027.25612704473,-0.0022507039387986744
2026-04-27,137494.31665405963,0.0
2026-04-28,137371.4746157998,-0.0008934335705592562
2026-04-29,139249.0692722103,0.0
2026-04-30,141142.3978218388,0.0
2026-05-06,141342.28812883497,0.0
2026-05-07,141680.30118881838,0.0
2026-05-08,141949.707855234,0.0
2026-05-11,142793.52925141703,0.0
2026-05-12,140853.66174482432,-0.013585121936283109
2026-05-13,141024.6681466328,-0.012387543847801415
2026-05-14,140100.49207538977,-0.018859658348282817
2026-05-15,139383.29559604288,-0.023882270248883185
2026-05-18,139991.4990187034,-0.01962294963506415
2026-05-19,139906.2417438766,-0.02022001642985358
2026-05-20,140492.7562935302,-0.016112585562864355
2026-05-21,139528.6300425679,-0.022864475904230946
2026-05-22,140046.10579314528,-0.01924053192518514
2026-05-25,139702.24159961645,-0.021648653605008526
2026-05-26,138801.94112876203,-0.027953564447776868
2026-05-27,138167.29244796664,-0.03239808433689568
2026-05-28,138076.84874802275,-0.03303147228113961
2026-05-29,137173.92112740246,-0.039354781364918226
2026-06-01,138826.46296708172,-0.027781835109282012
2026-06-02,137426.41289062912,-0.03758655163805087
2026-06-03,136930.29744720404,-0.04106090685586726
2026-06-04,136186.5714342071,-0.04626930822318322
2026-06-05,136771.83013069027,-0.04217067224470887
2026-06-08,135596.48102900834,-0.05040178123013419
2026-06-09,135671.40314292267,-0.04987709279146959
2026-06-10,135605.01371249458,-0.050342025836938385
2026-06-11,134956.59924384014,-0.05488294916906477
2026-06-12,135329.92330729577,-0.052268516530465894
2026-06-15,134989.28769949762,-0.05465402804197416
2026-06-16,134942.61176295328,-0.05498090515460691
2026-06-17,134057.04152212758,-0.06118265845161016
2026-06-18,134346.83013069027,-0.05915323449884501
2026-06-22,134770.3099663172,-0.056187555046512766
2026-06-23,135693.5032958279,-0.04972232280279382
2026-06-24,133493.6896490389,-0.06512787835087318
2026-06-25,132848.62686234165,-0.06964532945722879
2026-06-26,132534.62686234165,-0.07184430865219733
2026-06-29,132491.62686234165,-0.07214544274577583
2026-06-30,132201.62686234165,-0.07417634709781686
2026-07-01,133256.62686234165,-0.06678805712746072
2026-07-02,133136.62686234165,-0.0676284313420984
2026-07-03,134128.62686234165,-0.06068133783442702
2026-07-06,133832.62686234165,-0.06275426089719993
2026-07-07,132721.62686234165,-0.07053472550105365
2026-07-08,132560.62686234165,-0.07166222757235918
2026-07-09,132220.62686234165,-0.07404328784716589
